Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
O.P. Jindal Global University,India,#651-700,Private,Very High,"5,100",577,25,,, 21.2, 53.4,, 29.6,25,80
Osaka Prefecture University,Japan,#651-700,Public,Very High,"7,755",884,289,,,, 55.9, 19,,289,29
Savitribai Phule Pune University,India,#651-700,Public,Very High,"5,412",686,135,,,, 48.6,,,135,1
Sejong University,South Korea,#651-700,Private,Very High,"12,083",910, 20.1,,, 20.7,, 26.5, 24.3,"1,410",110
Soochow University,China Mainland,#651-700,Public,Very High,"48,549","3,618","1,403",,,,, 50.8,,"1,403",189
Tallinn University of Technology (TalTech),Estonia,#651-700,Public,Very High,"9,437",788, 28,,,, 27,, 37.3,"1,326",128
Tokyo Metropolitan University,Japan,#651-700,Public,Very High,"9,073",864,478,,,, 37.8, 19.5,,478,39
Universidad Pontificia Comillas,Spain,#651-700,,,"8,827",848,481,,, 43.9, 38.6,, 17.4,481,81
University of Genoa,Italy,#651-700,Public,Very High,"22,171","1,316","2,085",, 17.3,,, 33.7,,"2,085",38
University of Siena,Italy,#651-700,Public,High,"12,694",741, 19.6,,,,, 43.1,,"1,462",18
University of Hohenheim,Germany,#651-700,,,"8,877",401, 27.4,,,,, 48.7, 18.9,"1,319",48
Universiti Teknologi MARA - UiTM,Malaysia,#651-700,Public,Very High,"54,687","3,530",481,, 22.7, 49.3,,,,481,56
University of Denver,United States,#651-700,Private,Very High,"9,061",976,611,,,, 50.4, 19.1,,611,25
University of Hyderabad,India,#651-700,Public,High,"5,327",405,103,,,,, 43.1,,103,5
University of Massachusetts Boston,United States,#651-700,Public,Very High,"12,658",866, 24.2,,,,, 33.7,,"1,639",35
University of Mons,Belgium,#651-700,Private,Very High,"7,380",296, 32.3,,,,, 53.4, 31.5,"1,149",43
University of Pecs,Hungary,#651-700,Public,High,"16,878","1,620", 70,,,, 38.5,,,"4,153",48
University of Plymouth,United Kingdom,#651-700,Public,High,"17,076","1,166", 28.6,,,,, 31.3, 50.1,"2,429",233
University of Westminster,United Kingdom,#651-700,,High,"16,360",827, 100,,,,,, 79.3,"8,076",244
Virginia Commonwealth University,United States,#651-700,Public,Very High,"26,617","2,759","1,073",,,, 46.2, 19.9,,"1,073",224
William & Mary,United States,#651-700,Public,Very High,"8,549",799,763,,,, 36.1, 22,,763,51
Abu Dhabi University,United Arab Emirates,#701-750,Private,Very High,"3,893",262, 100,,,,,, 100,"2,494",259
Ajman University,United Arab Emirates,#701-750,Private,Medium,"5,105",292, 100,,,,,, 100,"4,236",282
Charles Darwin University,Australia,#701-750,Public,Very High,"6,806",372, 88.9,,,,, 26.7, 58.9,"2,131",87
China Agricultural University,China Mainland,#701-750,Public,Very High,"20,514","1,669",245,,,, 25.2, 42.1,,245,45
Chonnam National University,South Korea,#701-750,Public,Very High,"22,130","2,056","1,609",,,, 35.5, 22.5,,"1,609",111
Comenius University in Bratislava,Slovakia,#701-750,Public,Very High,"20,319","2,446", 24.5,,,, 44.4,,,"2,826",45
Gunma University,Japan,#701-750,Public,Very High,"6,429","1,067",247,,,, 61.3,,,247,25
Kansas State University,United States,#701-750,Public,Very High,"20,054","1,371","1,472",,,,, 23, 41.3,"1,472",259
Kaohsiung Medical University,Taiwan,#701-750,Private,Very High,"6,802",680,492,,,, 42.5, 23.8,,492,32
Keele University,United Kingdom,#701-750,Public,High,"9,138",736, 34.3,,,, 24.5, 25.6, 49.2,"1,440",145
Lebanese University,Lebanon,#701-750,Public,Medium,"48,667","3,206", 35,,, 30.7,,, 46.6,"7,754",608
Louisiana State University,United States,#701-750,Public,Very High,"28,002","1,488","1,547",,,,, 38.8,,"1,547",109
